exp2 HLL++ window map  (T=500, seed=31337, hash=xxh64/ints + ideal control)
branch = fraction of trials resolved by linear counting / bias-corrected / raw estimator
sparse* = zone a real HLL++ impl covers with near-exact sparse mode (switch band ~[m/4, 3m/4])

       arm      m    n/m       n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip |  bind% |    lc/bias/raw | sp
     ideal  16384   1.00   16384  1.00 |   0.00753   0.00498   0.00740 |   33.89    1.82 |   -15.2 |  50.40 | 0.00/1.00/0.00 |  
     ideal  16384   1.00   16384  1.02 |   0.00768   0.00768   0.00696 |    0.00    9.33 |    -1.0 |   0.20 | 0.00/1.00/0.00 |  
     ideal  16384   1.00   16384  1.10 |   0.00769   0.00769   0.00770 |    0.00   -0.15 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
     ideal  16384   2.00   32768  1.00 |   0.00640   0.00410   0.00703 |   35.94   -9.86 |   -10.3 |  51.20 | 0.00/1.00/0.00 |  
     ideal  16384   2.00   32768  1.02 |   0.00644   0.00642   0.00583 |    0.36    9.54 |    -1.4 |   0.40 | 0.00/1.00/0.00 |  
     ideal  16384   2.00   32768  1.10 |   0.00671   0.00671   0.00672 |    0.00   -0.11 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
     ideal  16384   4.00   65536  1.00 |   0.00729   0.00448   0.00710 |   38.59    2.58 |   -10.5 |  55.20 | 0.00/1.00/0.00 |  
     ideal  16384   4.00   65536  1.02 |   0.00699   0.00695   0.00627 |    0.59   10.38 |    -1.1 |   0.40 | 0.00/1.00/0.00 |  
     ideal  16384   4.00   65536  1.10 |   0.00760   0.00760   0.00761 |    0.00   -0.17 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
     ideal  16384   8.00  131072  1.00 |   0.00776   0.00540   0.00769 |   30.33    0.82 |   -10.1 |  53.00 | 0.00/0.00/1.00 |  
     ideal  16384   8.00  131072  1.02 |   0.00778   0.00777   0.00703 |    0.12    9.68 |    -1.2 |   0.40 | 0.00/0.00/1.00 |  
     ideal  16384   8.00  131072  1.10 |   0.00760   0.00760   0.00760 |    0.00    0.03 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
     ideal  16384  16.00  262144  1.00 |   0.00828   0.00577   0.00793 |   30.39    4.28 |   -10.0 |  50.80 | 0.00/0.00/1.00 |  
     ideal  16384  16.00  262144  1.02 |   0.00804   0.00804   0.00733 |    0.00    8.74 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
     ideal  16384  16.00  262144  1.10 |   0.00797   0.00797   0.00797 |    0.00   -0.02 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
     ideal  16384  32.00  524288  1.00 |   0.00807   0.00582   0.00799 |   27.86    0.93 |   -10.0 |  51.20 | 0.00/0.00/1.00 |  
     ideal  16384  32.00  524288  1.02 |   0.00770   0.00764   0.00690 |    0.78   10.49 |    -1.6 |   1.00 | 0.00/0.00/1.00 |  
     ideal  16384  32.00  524288  1.10 |   0.00789   0.00789   0.00789 |    0.00   -0.07 |     0.0 |   0.00 | 0.00/0.00/1.00 |  

cells where clip >1% worse than raw: NONE
runtime 726s
